case_id,method,mPSNR,mSSIM,ERGAS,time_sec
balloons_ms,Noisy,13.009773,0.035692,152.882069,0.000000
balloons_ms,SSCTV-RPCA,51.186637,0.996518,2.309089,5020.886692
balloons_ms,CTV-RPCA,44.611667,0.995656,4.962103,793.867497
balloons_ms,RPCA,29.002579,0.886653,24.507462,126.874005
beads_ms,Noisy,13.010049,0.144113,208.349466,0.000000
beads_ms,SSCTV-RPCA,40.191300,0.991528,10.361546,5149.713605
beads_ms,CTV-RPCA,32.463118,0.980376,25.687378,801.977800
beads_ms,RPCA,22.902388,0.869040,72.144316,111.599512
cd_ms,Noisy,13.012901,0.032140,331.726425,0.000000
cd_ms,SSCTV-RPCA,36.878911,0.989755,20.325499,5122.410300
cd_ms,CTV-RPCA,33.603511,0.985037,30.231302,779.874902
cd_ms,RPCA,21.932240,0.898684,118.399882,113.303866
chart_and_stuffed_toy_ms,Noisy,13.003580,0.082960,135.875898,0.000000
chart_and_stuffed_toy_ms,SSCTV-RPCA,48.271514,0.994191,3.750720,5205.613277
chart_and_stuffed_toy_ms,CTV-RPCA,40.831908,0.993450,5.753986,807.525825
chart_and_stuffed_toy_ms,RPCA,30.595820,0.923975,20.338992,106.122399
clay_ms,Noisy,13.004385,0.029943,357.666029,0.000000
clay_ms,SSCTV-RPCA,48.353979,0.994291,6.580932,4995.977973
clay_ms,CTV-RPCA,41.566386,0.991293,13.976503,792.013174
clay_ms,RPCA,23.051343,0.864153,122.010139,123.795884
cloth_ms,Noisy,13.015385,0.184751,122.242585,0.000000
cloth_ms,SSCTV-RPCA,43.884761,0.988739,4.132313,5207.112830
cloth_ms,CTV-RPCA,40.508494,0.990162,5.762289,824.706663
cloth_ms,RPCA,29.961992,0.934648,17.565035,105.024401
egyptian_statue_ms,Noisy,13.014763,0.025759,529.134331,0.000000
egyptian_statue_ms,SSCTV-RPCA,47.732654,0.997632,10.530653,4912.528779
egyptian_statue_ms,CTV-RPCA,41.119817,0.995338,20.431369,749.887893
egyptian_statue_ms,RPCA,28.158266,0.951436,99.892209,121.740508
face_ms,Noisy,13.006425,0.043219,199.889209,0.000000
face_ms,SSCTV-RPCA,44.756946,0.994244,5.463358,5032.270530
face_ms,CTV-RPCA,40.196593,0.991395,9.161548,784.452369
face_ms,RPCA,27.542227,0.937732,43.884356,125.662242
fake_and_real_beers_ms,Noisy,13.015625,0.040847,72.621603,0.000000
fake_and_real_beers_ms,SSCTV-RPCA,48.131135,0.993890,1.427190,5065.276698
fake_and_real_beers_ms,CTV-RPCA,42.261627,0.991858,2.590699,791.594712
fake_and_real_beers_ms,RPCA,34.438569,0.920224,6.440399,128.578942
fake_and_real_food_ms,Noisy,13.014513,0.040844,434.470280,0.000000
fake_and_real_food_ms,SSCTV-RPCA,49.355088,0.996193,6.447216,5012.546688
fake_and_real_food_ms,CTV-RPCA,41.688663,0.992540,16.119496,763.828060
fake_and_real_food_ms,RPCA,24.553471,0.890593,116.326091,127.632286
fake_and_real_lemon_slices_ms,Noisy,13.013093,0.045553,335.373552,0.000000
fake_and_real_lemon_slices_ms,SSCTV-RPCA,46.188106,0.993674,8.771718,5128.769035
fake_and_real_lemon_slices_ms,CTV-RPCA,37.796951,0.986806,20.128517,792.342548
fake_and_real_lemon_slices_ms,RPCA,29.590045,0.931815,52.516745,113.746576
fake_and_real_lemons_ms,Noisy,13.004975,0.031110,288.475181,0.000000
fake_and_real_lemons_ms,SSCTV-RPCA,52.345798,0.996841,3.384487,5053.173179
fake_and_real_lemons_ms,CTV-RPCA,45.128326,0.994307,7.765458,769.786977
fake_and_real_lemons_ms,RPCA,28.496734,0.892425,64.381702,122.275783
fake_and_real_peppers_ms,Noisy,13.010953,0.036102,392.827942,0.000000
fake_and_real_peppers_ms,SSCTV-RPCA,50.254772,0.997897,6.144018,4935.259892
fake_and_real_peppers_ms,CTV-RPCA,43.210344,0.996185,13.510521,789.055197
fake_and_real_peppers_ms,RPCA,25.150950,0.882602,106.373405,123.527210
fake_and_real_strawberries_ms,Noisy,13.009033,0.036364,304.643745,0.000000
fake_and_real_strawberries_ms,SSCTV-RPCA,50.752541,0.995360,4.381523,4988.681205
fake_and_real_strawberries_ms,CTV-RPCA,42.177519,0.989809,10.421540,791.382747
fake_and_real_strawberries_ms,RPCA,30.311154,0.893712,39.030981,117.435865
fake_and_real_sushi_ms,Noisy,13.010002,0.027401,685.034808,0.000000
fake_and_real_sushi_ms,SSCTV-RPCA,46.048456,0.997378,15.032702,4925.410392
fake_and_real_sushi_ms,CTV-RPCA,38.223405,0.994700,40.429405,769.643222
fake_and_real_sushi_ms,RPCA,23.677666,0.926126,193.490320,117.739312
fake_and_real_tomatoes_ms,Noisy,13.011892,0.028132,761.548966,0.000000
fake_and_real_tomatoes_ms,SSCTV-RPCA,46.687204,0.996458,18.206032,4948.077262
fake_and_real_tomatoes_ms,CTV-RPCA,36.367213,0.987708,60.941589,782.871830
fake_and_real_tomatoes_ms,RPCA,25.138783,0.929590,161.317502,112.224204
feathers_ms,Noisy,13.012390,0.070150,177.193528,0.000000
feathers_ms,SSCTV-RPCA,47.398488,0.994204,4.620665,5228.631481
feathers_ms,CTV-RPCA,41.091613,0.992378,8.001237,787.323989
feathers_ms,RPCA,25.325944,0.857362,42.793026,116.342349
flowers_ms,Noisy,13.010761,0.054636,219.427768,0.000000
flowers_ms,SSCTV-RPCA,49.048567,0.994528,4.818797,5151.064836
flowers_ms,CTV-RPCA,43.933700,0.993126,7.626153,773.086830
flowers_ms,RPCA,23.028138,0.893196,72.751653,126.045640
glass_tiles_ms,Noisy,13.010278,0.091692,196.222567,0.000000
glass_tiles_ms,SSCTV-RPCA,42.370213,0.990633,7.828773,5101.807240
glass_tiles_ms,CTV-RPCA,34.415278,0.987592,16.502085,769.565130
glass_tiles_ms,RPCA,24.751517,0.876158,50.340513,126.845142
hairs_ms,Noisy,13.006748,0.043908,233.796086,0.000000
hairs_ms,SSCTV-RPCA,47.294309,0.994745,5.096862,4915.049813
hairs_ms,CTV-RPCA,40.054071,0.992811,10.450014,755.162397
hairs_ms,RPCA,26.656547,0.939789,60.081914,123.936378
jelly_beans_ms,Noisy,13.016643,0.126078,183.430288,0.000000
jelly_beans_ms,SSCTV-RPCA,45.283236,0.995386,5.749384,5055.995199
jelly_beans_ms,CTV-RPCA,36.312171,0.990455,13.830312,778.293881
jelly_beans_ms,RPCA,27.674619,0.910007,36.725072,128.450874
oil_painting_ms,Noisy,13.007927,0.077857,153.123720,0.000000
oil_painting_ms,SSCTV-RPCA,46.063101,0.987789,4.362460,5000.211404
oil_painting_ms,CTV-RPCA,40.895828,0.987013,6.985640,770.465270
oil_painting_ms,RPCA,31.969660,0.930489,19.335969,125.622596
paints_ms,Noisy,13.016158,0.107683,112.985156,0.000000
paints_ms,SSCTV-RPCA,46.060399,0.994296,2.933713,5166.231183
paints_ms,CTV-RPCA,40.766765,0.993230,4.656358,789.179392
paints_ms,RPCA,27.708912,0.914405,23.254619,99.750790
photo_and_face_ms,Noisy,13.008637,0.042382,369.459068,0.000000
photo_and_face_ms,SSCTV-RPCA,44.861188,0.992166,10.498757,4853.607327
photo_and_face_ms,CTV-RPCA,41.365073,0.989956,14.258456,736.370185
photo_and_face_ms,RPCA,30.799967,0.948658,50.181235,118.937517
pompoms_ms,Noisy,13.009650,0.066307,124.389247,0.000000
pompoms_ms,SSCTV-RPCA,49.178531,0.994878,2.216355,5047.145241
pompoms_ms,CTV-RPCA,44.719546,0.993168,3.949786,788.904876
pompoms_ms,RPCA,24.866266,0.842174,33.968904,111.527610
real_and_fake_apples_ms,Noisy,13.015108,0.032986,314.522325,0.000000
real_and_fake_apples_ms,SSCTV-RPCA,50.054837,0.996233,4.457042,4945.502018
real_and_fake_apples_ms,CTV-RPCA,42.581438,0.993197,11.488283,761.097546
real_and_fake_apples_ms,RPCA,22.905059,0.901873,104.154310,122.816278
real_and_fake_peppers_ms,Noisy,13.006452,0.041485,185.079044,0.000000
real_and_fake_peppers_ms,SSCTV-RPCA,49.772396,0.995385,3.136898,4978.558273
real_and_fake_peppers_ms,CTV-RPCA,42.546682,0.992102,7.485742,779.242486
real_and_fake_peppers_ms,RPCA,26.473506,0.879079,61.937760,96.546671
sponges_ms,Noisy,13.005397,0.055680,76.162588,0.000000
sponges_ms,SSCTV-RPCA,46.724346,0.990118,1.852000,5035.336621
sponges_ms,CTV-RPCA,39.931178,0.989455,3.810788,787.985020
sponges_ms,RPCA,23.854754,0.754642,24.820119,76.544632
stuffed_toys_ms,Noisy,13.006605,0.058243,169.468299,0.000000
stuffed_toys_ms,SSCTV-RPCA,50.106312,0.995925,2.675364,5198.230802
stuffed_toys_ms,CTV-RPCA,44.898785,0.993631,5.740927,712.317277
stuffed_toys_ms,RPCA,24.208229,0.883464,49.843905,40.170254
superballs_ms,Noisy,13.008232,0.027607,514.529925,0.000000
superballs_ms,SSCTV-RPCA,48.988916,0.994586,7.842292,4938.121863
superballs_ms,CTV-RPCA,39.543286,0.991577,24.930154,750.140468
superballs_ms,RPCA,24.528346,0.894653,128.861727,107.242998
thread_spools_ms,Noisy,13.013018,0.052782,276.607758,0.000000
thread_spools_ms,SSCTV-RPCA,50.961022,0.996160,4.018827,5050.089017
thread_spools_ms,CTV-RPCA,44.460221,0.994235,7.539028,760.081141
thread_spools_ms,RPCA,27.474121,0.903828,49.561185,66.330861
watercolors_ms,Noisy,13.012822,0.121214,55.943427,0.000000
watercolors_ms,SSCTV-RPCA,45.635545,0.989444,1.629584,5238.871295
watercolors_ms,CTV-RPCA,41.945410,0.989156,2.225829,594.109092
watercolors_ms,RPCA,31.554616,0.920831,7.084617,27.248181
